"Handle","Title","Image Src","Image Position","Option1 Name","Option1 Value","Variant Price","Variant Grams","Variant Weight Unit","Variant Inventory Policy","Variant Fulfillment Service","Status","Variant SKU","Variant Inventory Qty","Variant Inventory Tracker","Body (HTML)","Vendor","Type","Tags","Published","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Tax Code","Cost per item"
"conjunto-banhado-a-ouro-18k-com-sodalita","CONJUNTO BANHADO A OURO 18K COM SODALITA","https://lobitypi.sirv.com/store_images/possebon/8880565BRILHO-min.jpg","1","","","0","25","kg","deny","manual","draft","8880565BRILHO","2","shopify","<p>O <strong>CONJUNTO BANHADO A OURO 18K COM SODALITA</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 43cm</p> <p>PEDRAS: SODALITA</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-sodalita","","https://lobitypi.sirv.com/store_images/possebon/8880565BRILHOB-min.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-sodalita","","https://lobitypi.sirv.com/store_images/possebon/8880565BRILHOA-min.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-agata-verde","CONJUNTO BANHADO A OURO 18K COM AGATA VERDE","https://lobitypi.sirv.com/store_images/possebon/8881568-min.jpg","1","","","0","25","kg","deny","manual","draft","8881568","2","shopify","<p>O <strong>CONJUNTO BANHADO A OURO 18K COM AGATA VERDE</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 43cm</p> <p>PEDRAS: AGATA VERDE</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-agata-verde","","https://lobitypi.sirv.com/store_images/possebon/8881568A-min.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-agata-verde","","https://lobitypi.sirv.com/store_images/possebon/8881568B-min.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-quartzo-rosa-2","CONJUNTO BANHADO A OURO 18K COM QUARTZO ROSA","https://lobitypi.sirv.com/store_images/possebon/8882457-min.jpg","1","","","0","25","kg","deny","manual","draft","8882457","1","shopify","<p>O <strong>CONJUNTO BANHADO A OURO 18K COM QUARTZO ROSA</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 43cm</p> <p>PEDRAS: QUARTZO ROSA</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-quartzo-rosa-2","","https://lobitypi.sirv.com/store_images/possebon/8882457A-min.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-mosaico-madreperola","CONJUNTO BANHADO A OURO 18K COM MOSAICO MADREPÉROLA","https://lobitypi.sirv.com/store_images/possebon/8882463-min.jpg","1","","","0","25","kg","deny","manual","draft","8882463","3","shopify","<p>O <strong>CONJUNTO BANHADO A OURO 18K COM MOSAICO MADREPÉROLA</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 43cm</p> <p>PEDRAS: MADREPÉROLA</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-mosaico-madreperola","","https://lobitypi.sirv.com/store_images/possebon/8882463A-min.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-quartzo-rosa","CONJUNTO BANHADO A OURO 18K COM QUARTZO ROSA","https://lobitypi.sirv.com/store_images/possebon/8882466A-min.jpg","1","","","0","25","kg","deny","manual","draft","8882466","1","shopify","<p>O <strong>CONJUNTO BANHADO A OURO 18K COM QUARTZO ROSA</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 43cm</p> <p>PEDRAS: QUARTZO ROSA</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-quartzo-rosa","","https://lobitypi.sirv.com/store_images/possebon/8882466B-min.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-quartzo-rosa","","https://lobitypi.sirv.com/store_images/possebon/8882466-min.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-madreperola","CONJUNTO BANHADO A OURO 18K COM MADREPÉROLA","https://lobitypi.sirv.com/store_images/possebon/8882468-min.jpg","1","","","0","25","kg","deny","manual","draft","8882468","1","shopify","<p>O <strong>CONJUNTO BANHADO A OURO 18K COM MADREPÉROLA</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 43cm</p> <p>PEDRAS: MADREPÉROLA</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-madreperola","","https://lobitypi.sirv.com/store_images/possebon/8882468A-min.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-agata-azul-ceu","CONJUNTO BANHADO A OURO 18K COM AGATA AZUL CÉU","https://lobitypi.sirv.com/store_images/possebon/8883561A-min.jpg","1","","","0","25","kg","deny","manual","draft","8883561","2","shopify","<p>O <strong>CONJUNTO BANHADO A OURO 18K COM AGATA AZUL CÉU</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 43cm</p> <p>PEDRAS: AGATA AZUL CÉU</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-agata-azul-ceu","","https://lobitypi.sirv.com/store_images/possebon/8883561-min.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-agata-vermelha","CONJUNTO BANHADO A OURO 18K COM AGATA VERMELHA","https://lobitypi.sirv.com/store_images/possebon/8883586C-min.jpg","1","","","0","25","kg","deny","manual","draft","8883586M","1","shopify","<p>O <strong>CONJUNTO BANHADO A OURO 18K COM AGATA VERMELHA</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 43cm</p> <p>PEDRAS: AGATA VERMELHA</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-agata-vermelha","","https://lobitypi.sirv.com/store_images/possebon/8883586M-min.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-turmalina-negra","CONJUNTO BANHADO A OURO 18K COM TURMALINA NEGRA","https://lobitypi.sirv.com/store_images/possebon/8885515A-min.jpg","1","","","0","25","kg","deny","manual","draft","8885515","2","shopify","<p>O <strong>CONJUNTO BANHADO A OURO 18K COM TURMALINA NEGRA</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 43cm</p> <p>PEDRAS: TURMALINA NEGRA</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"conjunto-banhado-a-ouro-18k-com-turmalina-negra","","https://lobitypi.sirv.com/store_images/possebon/8885515-min.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"brinco-banhado-a-ouro-18k-com-perola-shell","BRINCO BANHADO A OURO 18K COM PÉROLA SHELL","https://lobitypi.sirv.com/store_images/possebon/8886980-min.jpg","1","","","999.99","25","kg","deny","manual","draft","8886980","-4","shopify","<p>O <strong>BRINCO BANHADO A OURO 18K COM PÉROLA SHELL</strong> É UMA ÓTIMA OPÇÃO PARA MULHERES QUE AMAM ACESSÓRIOS. UMA PEÇA SUPER DELICADA E CHEIA DE CHARME. SUA COR É UM DIFERENCIAL, POIS PERMITE QUE VOCÊ COMBINE DE DIVERSAS FORMAS.</p> <p> </p> <p>BANHO: OURO 18K</p> <p>TAMANHO: 2cm</p> <p>PEDRAS: PÉROLA SHELL</p> <p>FORMATO: REDONDO</p> <p> </p> <p>TODAS AS NOSSAS PEÇAS SÃO HIPOALERGÊNICAS, 100% LIVRES DE NÍQUEL E CHUMBO EM SUA COMPOSIÇÃO.</p> <p> </p> <p>TODAS AS PEDRAS SÃO CRAVADAS MANUALMENTE.</p> <p> </p> <p>SÓ UM DETALHE: AS PEDRAS NATURAIS PODEM APRESENTAR INCLUSÕES E VARIAÇÕES DE CORES. TAIS CARACTERÍSTICAS AS TORNAM ÚNICAS E BELAS.</p> <p> </p> <p>OFERECEMOS GARANTIA DE 6 MESES PARA O BANHO.</p> <p> </p> <p>FRETE SIMPLIFICADO:</p> <p> </p> <p>- REGIÃO SUL: R$ 18,00</p> <p>- REGIÃO SUDESTE: R$ 15,00</p> <p>- REGIÃO CENTRO-OESTE: R$ 20,00</p> <p>- REGIÃO NORDESTE: R$ 25,00</p> <p>- REGIÃO NORTE: R$ 28,00</p> <p> </p> <p>PRODUTO A PRONTA ENTREGA</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
